time,accel_x,accel_y,accel_z,accel_x_scaled,accel_y_scaled,accel_z_scaled,gyro_x,gyro_y,gyro_z,gyro_x_scaled,gyro_y_scaled,gyro_z_scaled,x_rotation,y_rotation,proximity,steering_angle,throttle,count
2019-03-17 10:14:16.554528,396,508,16612,0.015625,0.02587890625,1.013427734375,-306,69,39,-3.8625954198473282,0.5267175572519084,0.48091603053435117,1.4582725632588984,-0.9926282973371059,133.33,0,0,0
2019-03-17 10:14:16.623083,276,504,16632,0.030517578125,0.033447265625,1.0302734375,-319,100,70,-3.8702290076335877,0.6641221374045801,0.3053435114503817,1.0153776464955933,-1.300173675071646,144.14,0,0,0
2019-03-17 10:14:16.662584,404,256,16472,0.018310546875,0.02734375,1.014404296875,-286,65,53,-2.0763358778625953,0.6717557251908397,0.21374045801526717,1.7011320881908343,-1.2165385886714937,182.55,0,0,0
2019-03-17 10:14:16.704323,380,272,16416,0.019287109375,0.0283203125,1.00048828125,-289,85,34,-2.2290076335877864,0.6946564885496184,0.2900763358778626,1.3079559036650459,-1.1975720982267894,180.33,0,0,0
2019-03-17 10:14:16.746957,260,376,16596,0.0166015625,0.028564453125,1.008056640625,-289,83,37,-2.4732824427480917,0.8931297709923665,0.3511450381679389,1.5901706122182295,-0.8196665730304992,181.48,0,0,0
2019-03-17 10:14:16.788569,292,456,16600,0.017822265625,0.033935546875,1.01416015625,-284,64,43,-2.2519083969465647,0.7404580152671756,0.22137404580152673,1.3102310966435067,-1.1524530773621147,181.8,0,0,0
2019-03-17 10:14:16.829207,352,428,16836,0.01611328125,0.0263671875,1.00927734375,-274,82,22,-2.2595419847328246,0.4961832061068702,0.48854961832061067,1.6336200691995864,-1.1607715440068296,182.2,0,0,0
2019-03-17 10:14:16.871496,356,504,16572,0.02197265625,0.0322265625,1.015380859375,-329,60,36,-2.3053435114503817,0.732824427480916,0.3282442748091603,0.8863392891268753,-1.0285075491678406,144.12,0,0,0
2019-03-17 10:14:16.910309,372,536,16464,0.022705078125,0.040771484375,1.017333984375,-261,88,28,-2.33587786259542,0.6564885496183206,0.1984732824427481,1.1190046172406274,-0.9830881032762807,179.98,0,0,0
2019-03-17 10:14:16.950880,292,448,16568,0.022216796875,0.02880859375,1.0146484375,-300,65,39,-2.2442748091603053,0.5954198473282443,0.32061068702290074,1.5115302716239718,-0.9562522038868555,147.16,0,0,0
2019-03-17 10:14:16.989589,492,288,16504,0.02392578125,0.030029296875,1.00146484375,-269,84,38,-2.5572519083969465,0.7175572519083969,0.3282442748091603,2.442521479817058,-1.1225518959811882,146.72,0,0,0
2019-03-17 10:14:17.031657,292,492,16632,0.019775390625,0.029541015625,1.011474609375,-343,122,49,-0.05343511450381679,0.6335877862595419,0.3816793893129771,1.355281363946192,-1.1217598182819724,148.9,0,0,0
2019-03-17 10:14:17.073038,356,412,16476,0.019775390625,0.029052734375,1.007080078125,-316,98,37,-2.0,0.5954198473282443,0.3282442748091603,1.8734729596322377,-1.0843198243422851,182.96,0,0,0
2019-03-17 10:14:17.116583,392,432,16820,0.020751953125,0.027587890625,1.015625,-363,92,54,-2.0229007633587788,0.5038167938931297,0.25190839694656486,1.8987607939051456,-1.0627755415667497,118.61,0,0,1
2019-03-17 10:14:17.155600,368,492,16872,0.018798828125,0.028076171875,1.014404296875,-298,93,34,-3.8931297709923665,0.5954198473282443,0.2595419847328244,1.3735845938214057,-1.1578000798278447,181.81,0,0,1
2019-03-17 10:14:17.197876,88,740,16844,0.01611328125,0.032470703125,1.020751953125,-305,97,63,-2.1755725190839694,0.6412213740458015,0.40458015267175573,1.2869678787607246,-1.2608156106503883,182.82,0,0,2
2019-03-17 10:14:17.243163,292,500,16548,0.02197265625,0.031005859375,1.0146484375,-276,113,26,-2.267175572519084,0.4732824427480916,0.015267175572519083,1.6637296106764576,-1.1450401440828333,178.97,0,0,2
2019-03-17 10:14:17.289330,-900,1304,15592,0.0859375,0.00927734375,1.03564453125,-209,28,86,-0.6412213740458015,0.8625954198473282,1.7633587786259541,1.0015207950801484,-0.7951299162101115,143.26,-1,0,2
2019-03-17 10:14:17.332309,444,668,16860,0.003173828125,0.043701171875,1.013916015625,-323,62,-11,-2.4580152671755724,0.5954198473282443,-0.12213740458015267,2.5447080340388433,-1.4642459481726202,117.34,-1,0,3
2019-03-17 10:14:17.369447,408,264,16496,0.00048828125,0.048828125,1.006591796875,-489,59,101,-3.33587786259542,0.11450381679389313,1.1984732824427482,0.6782669662178363,-0.16176134100235393,115.03,-1,0,3
2019-03-17 10:14:17.408951,-152,584,16492,0.006103515625,0.060302734375,1.031494140625,-328,68,12,-1.9694656488549618,0.7022900763358778,-0.0916030534351145,2.9383447593320424,-1.819310710252926,180.02,0,0,3
2019-03-17 10:14:17.453568,480,36,16732,0.028076171875,0.0009765625,1.027587890625,-32,124,42,-2.045801526717557,0.732824427480916,0.29770992366412213,1.0136099016599174,-1.3236451707833736,116.97,0,0,4
2019-03-17 10:14:17.490962,368,556,16824,0.0244140625,0.02490234375,1.015380859375,-34,119,37,-0.13740458015267176,0.9312977099236641,0.183206106870229,1.5688698047686662,-1.0513242135035876,129.67,0,0,4
2019-03-17 10:14:17.530237,424,576,16540,0.024169921875,0.01904296875,1.017822265625,-325,78,31,-2.2977099236641223,0.8854961832061069,0.40458015267175573,1.6891959085563597,-1.092904955499423,144.56,0,0,5
2019-03-17 10:14:17.582149,388,624,16544,0.022216796875,0.033935546875,1.012939453125,-283,110,24,-2.0229007633587788,0.8854961832061069,0.33587786259541985,1.4951174266258054,-1.6022744479743525,176.28,0,0,5
2019-03-17 10:14:17.627727,328,408,16600,0.0244140625,0.029052734375,1.01416015625,-319,86,68,-2.145038167938931,0.7404580152671756,0.20610687022900764,1.568237684319756,-1.0905653239438067,143.61,0,0,6
2019-03-17 10:14:17.667739,400,460,16488,0.02294921875,0.0283203125,1.01220703125,-261,102,59,-2.198473282442748,0.7022900763358778,0.26717557251908397,1.7864515646181798,-1.150388491935227,148.03,0,0,6
2019-03-17 10:14:17.708286,356,672,16508,0.024169921875,0.015869140625,1.020751953125,-286,83,46,-2.282442748091603,0.732824427480916,0.32061068702290074,1.5075184528230856,-1.1130973783671634,181.07,0,0,6
2019-03-17 10:14:17.754572,424,400,16528,0.0166015625,-0.00244140625,1.039794921875,-340,-173,-293,-5.549618320610687,-0.15267175572519084,-1.3511450381679388,5.447330708743546,0.45723615671606094,183.82,0,0,7
2019-03-17 10:14:17.799253,-572,3316,20752,-0.1318359375,-0.127197265625,1.29931640625,-1436,490,-414,-4.534351145038168,2.1526717557251906,-1.717557251908397,4.443117130869891,12.298072084266414,146.71,-1,90,7
2019-03-17 10:14:17.839651,-488,1832,17192,-0.08154296875,-0.05712890625,0.992919921875,-496,144,216,-1.0,-0.35877862595419846,3.0916030534351147,3.2927065299803555,0.9975829492475198,179.38,-1,90,8
2019-03-17 10:14:17.880419,2296,1760,16104,-0.021240234375,0.024658203125,1.053466796875,-298,656,28,-3.2061068702290076,2.0610687022900764,-1.0916030534351144,6.780228326339525,5.182145433041566,181.54,-1,90,8
2019-03-17 10:14:17.922878,1164,-1020,15256,0.019287109375,-0.00439453125,0.906982421875,-188,-264,327,-2.8473282442748094,-0.09923664122137404,1.5419847328244274,8.984791650329566,5.408985124746096,180.05,-1,90,9
2019-03-17 10:14:17.964288,828,856,16100,-0.00439453125,0.009765625,0.94921875,-88,435,294,-2.9389312977099236,2.0381679389312977,0.4732824427480916,6.369087665392525,6.821220954483059,117.92,-1,90,9
2019-03-17 10:14:18.002948,900,1740,15460,-0.02490234375,0.000732421875,0.990966796875,-362,-83,193,-0.6793893129770993,-1.8778625954198473,1.6717557251908397,7.340982251026754,-1.2583285217006142,180.66,-1,90,10
2019-03-17 10:14:18.046249,-1396,832,16684,0.004638671875,0.06494140625,0.9931640625,-468,278,397,-2.7938931297709924,1.2442748091603053,1.8015267175572518,-5.658063372315639,3.777504288268328,116.77,-1,90,10
2019-03-17 10:14:18.082714,-488,1232,16304,-0.0009765625,0.02783203125,1.017578125,-122,505,191,-2.4122137404580153,1.297709923664122,1.5648854961832062,9.225782698709558,4.306852169675285,136.9,-1,90,10
2019-03-17 10:14:18.122291,-1748,2048,17656,-0.04443359375,0.046875,0.947509765625,-463,200,43,-2.633587786259542,1.4961832061068703,2.0381679389312977,-1.1828181767788801,-4.085691945376695,142.81,-1,90,11
2019-03-17 10:14:18.161546,-228,-1260,17096,0.013671875,-0.030517578125,0.876708984375,-739,92,268,-1.5725190839694656,1.366412213740458,5.1679389312977095,-3.3324604136459524,2.082440028336624,142.26,-1,90,11
2019-03-17 10:14:18.201660,-1964,1884,15708,0.014404296875,-0.044921875,1.087646484375,-87,244,865,-4.236641221374046,2.9236641221374047,4.519083969465649,-5.796557263094036,1.7190238529932882,152.43,-1,90,11
2019-03-17 10:14:18.242783,-764,1844,19512,0.05810546875,-0.04638671875,0.947509765625,-381,480,444,-0.9236641221374046,-0.9618320610687023,3.122137404580153,7.975026065932077,5.71515043619242,154.73,-1,90,12
2019-03-17 10:14:18.281309,380,976,18916,0.062255859375,0.112060546875,0.970703125,-439,163,478,-3.267175572519084,2.236641221374046,5.022900763358779,-0.5457552130486952,-3.395858872221726,137.81,-1,90,12
2019-03-17 10:14:18.322495,276,-84,19172,-0.114990234375,-0.024658203125,0.781494140625,-612,145,155,-2.854961832061069,1.0305343511450382,3.50381679389313,-7.255277459378296,0.1556217567763364,114.53,-1,90,13
2019-03-17 10:14:18.360418,1348,-468,15316,-0.040283203125,0.06298828125,1.01513671875,-240,243,755,-2.763358778625954,0.26717557251908397,5.366412213740458,-2.780048069204777,4.337317482481953,124.3,-1,90,13
2019-03-17 10:14:18.399093,-1168,732,10176,-0.1513671875,0.059326171875,1.046630859375,-352,-38,838,0.648854961832061,-0.15267175572519084,6.557251908396947,-2.520816938204394,2.8185167001394937,115.45,-1,90,13
2019-03-17 10:14:18.439547,-2336,-1372,12808,-0.224853515625,0.20068359375,0.862060546875,-104,-48,768,-0.8778625954198473,-1.0687022900763359,6.198473282442748,-0.7145746018771311,8.463363553586424,139.85,-1,90,14
2019-03-17 10:14:18.479415,-648,3428,21060,-0.16796875,-0.023193359375,1.192626953125,445,585,843,4.419847328244275,4.4961832061068705,7.656488549618321,4.763330605973952,5.637430278276987,92.15,-1,90,14
2019-03-17 10:14:18.519547,2872,-2104,16248,-0.06201171875,0.046630859375,1.162353515625,5,287,1370,-3.4885496183206106,1.8244274809160306,6.427480916030534,2.648731107252562,2.178004196487144,110.63,-1,90,15
